0.125,able
-0.75,unable
0.25,dissilient
0.25,parturient
0.5,uncut,full-length
0.5,absolute
0.75,direct
0.125,infinite
0.375,living
-0.25,relative,comparative
0.375,sorbefacient,absorbefacient
-0.75,assimilatory,assimilative,assimilating
-0.125,receptive
-0.5,nonabsorptive,nonabsorbent
-0.5,resistant,repellent
-0.25,chemosorptive,chemisorptive
-0.25,nonadsorptive,nonadsorbent
0.5,absorbable
0.25,adsorbate,adsorbable
-0.625,abstinent,abstentious
0.25,spartan,austere,ascetical,ascetic
-0.5,crapulous,crapulent
-0.125,swinish,porcine,piggy,piggish,hoggish
-0.25,too-greedy,overgreedy
0.375,notional,ideational,conceptional
0.125,conceptual
0.375,concrete
-0.25,abundant
-0.25,galore,abounding
0.125,rich2,plentiful,plenteous,copious,ample
-0.375,easy
-0.25,riotous,profuse,luxuriant,lush,exuberant
-0.5,thick
-0.25,long
-0.375,rife,plethoric,overabundant
-0.25,plentiful
-0.25,rank
-0.375,superabundant
-0.375,torrential
-0.375,verdant
-0.25,scarce
-0.875,rare
-0.625,tight
-0.625,mistreated,maltreated,ill-treated,abused
-0.75,battered
0.125,unabused
0.625,acceptable
0.25,bankable
-0.375,unimpeachable,unexceptionable
-0.5,unobjectionable
-0.25,unacceptable
-0.375,objectionable,exceptionable
0.625,accessible
0.375,reachable,approachable
0.625,getatable,get-at-able,come-at-able
0.375,unaccessible,inaccessible
0.125,remote,outback
-0.125,untrodden,untrod,untracked,trackless,roadless,pathless
-0.625,ungetatable,un-get-at-able,un-come-at-able
0.5,accommodative,accommodating
0.75,obliging,complaisant
-0.125,uncooperative,disobliging
0.5,accurate
0.625,faithful,close
0.375,dead-on
0.375,high-fidelity,hi-fi
0.5,surgical
0.125,true,dead_on_target
0.875,veracious,right
-0.5,inaccurate
-0.625,wrong,incorrect,faulty
-0.5,unfaithful
-0.625,wide_of_the_mark,wide
0.125,accustomed
-0.375,wont_to,used_to
-0.75,unaccustomed
-0.125,new
-0.125,unused
-0.125,acidic
-0.375,acid
-0.5,acid-forming
-0.25,alkalescent,alcalescent
0.25,basic
0.125,saltlike
0.5,amphoteric,amphiprotic
-0.25,acid-loving
-0.25,alkaline-loving
0.125,acknowledged
0.5,recognized,recognised,accepted
-0.125,self-confessed
0.25,assumptive
0.375,declarable
0.125,putative
-0.625,unacknowledged
-0.375,unvalued,unsung,unappreciated
0.25,unavowed,secret
-0.375,unconfessed
-0.5,unrecognized,unrecognised
0.375,accumulative
-0.25,voracious,ravening,rapacious
-0.5,sordid
-0.5,unacquisitive
0.375,active
0.375,gymnastic,athletic,acrobatic
0.5,hot
0.25,overactive,hyperactive
0.125,on_the_go
0.25,sporty
-0.125,inactive
0.125,deskbound,desk-bound
-0.125,dormant,abeyant
-0.625,underactive,hypoactive
0.125,torpid,soggy,sluggish,inert
0.125,sedentary
-0.125,activated
-0.375,inactive
-0.625,off
-0.625,retired
0.125,brisk
0.5,bustling
0.125,busy
-0.5,going
-0.25,springy
0.25,inactive
0.25,dead
-0.5,sluggish,slow,dull
-0.5,unused,idle
-0.125,active
-0.25,progressive
-0.375,inactive
-0.125,latent
-0.625,quiescent
0.125,active
0.125,passive,inactive
-0.625,hands-off
-0.75,unresisting,supine,resistless
-0.5,active
-0.375,eruptive
-0.25,quiescent
-0.375,dead
-0.5,active
0.5,live1,alive
0.25,active
0.125,activated
-0.5,counteractive
-0.625,inactive
-0.5,quiescent
0.375,active
-0.5,quiet
-0.375,existent,actual
0.5,effective
-0.25,potential,possible
-0.625,latent
-0.5,acute
-0.375,chronic
-0.375,degenerative
0.5,virulent
-0.25,highly_infective
-0.125,deadly
-0.875,avirulent
0.25,adaptive,adaptative
0.5,reconciling,accommodative
0.5,adjustive
0.125,maladaptive
0.125,maladjustive
-0.125,unaddicted
0.5,clean
-0.625,habit-forming,addictive
-0.25,nonaddictive
-0.375,additive
0.5,addible,addable
0.25,subtractive
0.625,ablative
-0.625,reductive
0.125,addressed
-0.125,unaddressed
0.125,up_to,equal_to,capable,adequate_to
0.25,competent
-0.5,unequal,inadequate
-0.625,wanting,lacking,deficient
-0.25,unequal_to,incompetent,incapable
-0.75,understaffed,undermanned,short-staffed,short-handed
-0.25,adhesive
0.25,bondable
-0.5,cohesive
-0.25,gummy,gummed
-0.5,self-sealing
-0.5,stick-on
-0.75,nonadhesive
-0.625,nonviscid,nonglutinous
-0.5,nonresiny,nonresinous,non-resiny,non-resinous
-0.75,ungummed
0.125,substantive,essential
0.75,adoptable
0.375,decorated,adorned
-0.375,spangly,spangled,sequined,jewelled,jeweled,gemmed,beady
-0.5,bedaubed
-0.25,spectacled,monocled,bespectacled
-0.125,buttony
-0.25,plumed,crested
-0.125,plumy,feathery,feathered
-0.125,ruffled,frilly,frilled
-0.125,fringed
0.125,gilt-edged
-0.125,inflamed
-0.125,inlaid
-0.25,mounted
-0.125,wainscoted,paneled
-0.375,studded
-0.125,tapestried
-0.125,tasselled,tasseled
-0.125,tricked-out
-0.125,tufted
-0.375,undecorated,unadorned
-0.125,unornamented,unembellished,spare,plain,bare
0.25,adroit
0.625,neat,clean
0.625,ingenious,cunning,clever
0.25,handy
0.5,quick-witted
-0.125,maladroit
-0.625,left-handed,heavy-handed,handless,ham-handed,ham-fisted,butterfingered,bungling,bumbling
0.375,tactless,inept
-0.25,uncoordinated
-0.25,unmechanical,nonmechanical
0.625,advantageous
0.625,good,beneficial
0.75,positive,plus
-0.125,preferential,discriminatory
0.5,disadvantageous
-0.875,negative,minus
0.375,adventurous,adventuresome
0.25,venturous,venturesome,daring,audacious
0.125,swashbuckling,swaggering
-0.125,unadventurous
0.625,advisable
0.75,better,best
0.625,well
-0.5,unadvisable,inadvisable
0.5,well-advised,advised
